model,detail,id,price
"Máy xách tay/ Laptop MacBook 12"" MNYM2SA/A (Vàng hồng)","
CPU: Core M3 7Y32 (1.2GHz) 
Ram: 8Gb 
Ổ cứng: 256Gb SSD 
Màn hình: 12.0Inch 
Trọng lượng: 0.92kg 
Hệ điều hành có sẵn: Mac OS X 10.12.5",57,33.450.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXQ2SA/A (Xám)","
CPU: Intel Core i5 Dual-core 2.3 GHz 
Ram: 8 GB 2133 MHz LPDDR3 
Ổ cứng: 128 GB PCIe 
Màn hình: 560 x 1600 pixels, 13.3 inches 
Trọng lượng: 1.37kg 
Hệ điều hành có sẵn: OS X Sierra",58,33.590.000 ₫
"Máy xách tay/ Laptop MacBook 15"" MPTT2SA/A (Xám)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",59,71.500.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXV2ZP/A (Xám)","
CPU Intel Core i5
RAM: 8GB
Ổ cứng: SSD  256GB- Màn hình: 13.3"" Retina (2560 x 1080)
Trọng lượng: 1.2 kg
Hệ điều hành: Mac OS",60,45.990.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXW2ZP/A (Xám)","
CPU Intel Core i5
RAM: 4GB
Ổ cứng: SSD 256GB- Màn hình: 13.3"" Retina
Trọng lượng: 1.2 kg
Hệ điều hành: Mac OS",61,52.390.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXU2ZP/A (Bạc)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",62,39.250.000 ₫
"Máy xách tay/ Laptop MacBook 12"" MNYK2ZP/A (Vàng đồng)","
CPU Intel Core M3
RAM: 8GB
Ổ cứng: SSD 256GB - Màn hình: 12"" (2304 x 1440)
Trọng lượng: 0.92kg
Hệ điều hành: Mac OS",63,33.450.000 ₫
"Máy xách tay/ Laptop MacBook 12"" MNYL2ZP/A (Vàng đồng)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",64,40.500.000 ₫
"Máy xách tay/ Laptop MacBook 15"" MPTR2SA/A (Xám)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",65,60.000.000 ₫
"Máy xách tay/ Laptop MacBook 12"" MNYH2ZP/A (Bạc)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",66,33.450.000 ₫
